ground_truth_prediction_json,similarity
"{'ground_truth': 'Calendar', 'predictions': ""['calendar']""}",1.0
"{'ground_truth': 'Liquor bottle', 'predictions': ""['liquor bottle', 'liquor bottle']""}",1.0
"{'ground_truth': 'iron', 'predictions': ""['iron']""}",1.0
"{'ground_truth': 'Computer mouse', 'predictions': ""['computer mouse']""}",1.0
"{'ground_truth': 'Spectacles', 'predictions': ""['glasses', 'glasses']""}",1.0
"{'ground_truth': 'Diaper', 'predictions': ""['diaper']""}",1.0
"{'ground_truth': 'jam spread bottle', 'predictions': ""['jam spread bottle']""}",1.0
"{'ground_truth': 'disposable wooden chopsticks', 'predictions': ""['disposable wooden chopsticks']""}",1.0
"{'ground_truth': 'glass wine bottle', 'predictions': ""['wine bottle', 'wine bottle', 'wine bottle']""}",0.3333333333333333
"{'ground_truth': 'Rice cooker', 'predictions': ""['rice cooker']""}",1.0
"{'ground_truth': 'coffee table', 'predictions': ""['coffee table']""}",1.0
"{'ground_truth': 'Joss sticks', 'predictions': ""['joss sticks']""}",1.0
"{'ground_truth': 'liquor bottle', 'predictions': ""['liquor bottle', 'liquor bottle']""}",1.0
"{'ground_truth': 'Television', 'predictions': ""['television']""}",1.0
"{'ground_truth': 'food jars', 'predictions': ""['glassware']""}",0.0
"{'ground_truth': 'cigarettes', 'predictions': ""['cigarettes']""}",1.0
"{'ground_truth': 'modem', 'predictions': ""['modem']""}",1.0
"{'ground_truth': 'plastic bowl', 'predictions': ""['plastic bowl']""}",1.0
"{'ground_truth': 'briefcase', 'predictions': ""['briefcase']""}",1.0
"{'ground_truth': 'candy', 'predictions': ""['sweets']""}",0.0
"{'ground_truth': 'glitter paper', 'predictions': ""['glitter paper']""}",1.0
"{'ground_truth': 'Vase', 'predictions': ""['vase']""}",1.0
"{'ground_truth': 'ribbons', 'predictions': ""['ribbons']""}",1.0
"{'ground_truth': 'fish', 'predictions': ""['fish']""}",1.0
"{'ground_truth': 'Shampoo', 'predictions': ""['shampoo bottle', 'shampoo bottle', 'shampoo bottle']""}",0.3333333333333333
